physical_pin,zorro_ii_signal,net_name,category,notes
1,GND,GND,POWER,
2,GND,GND,POWER,
3,GND,GND,POWER,
4,GND,GND,POWER,
5,+5V,+5V,POWER,
6,+5V,+5V,POWER,
7,/OWN,OWN_N,DMA / ARBITRATION,
8,-5V,-5V,POWER,Availability depends on host
9,/SLAVE,SLAVE_N,AUTOCONFIG / SLOT CONTROL,Slot-specific /SLAVEn
10,+12V,+12V,POWER,
11,/CFGOUT,CFGOUT_N,AUTOCONFIG / SLOT CONTROL,Slot-specific /CFGOUTn
12,/CFGIN,CFGIN_N,AUTOCONFIG / SLOT CONTROL,Slot-specific /CFGINn
13,GND,GND,POWER,
14,/C3,C3_N,CLOCKS,
15,CDAC,CDAC,CLOCKS,
16,/C1,C1_N,CLOCKS,
17,/OVR,OVR_N,BUS CONTROL,Physical /CINH
18,XRDY,XRDY,BUS CONTROL,Physical /MTCR
19,/INT2,INT2_N,INTERRUPTS,
20,-12V,-12V,POWER,
21,A5,A5,ADDRESS,
22,/INT6,INT6_N,INTERRUPTS,
23,A6,A6,ADDRESS,
24,A4,A4,ADDRESS,
25,GND,GND,POWER,
26,A3,A3,ADDRESS,
27,A2,A2,ADDRESS,
28,A7,A7,ADDRESS,Corrected from supplied A1; AHRM p437
29,A1,A1,ADDRESS,Corrected from supplied A7; physical /LOCK; AHRM p437
30,A8,A8,ADDRESS,
31,FC0,FC0,BUS CONTROL,
32,A9,A9,ADDRESS,
33,FC1,FC1,BUS CONTROL,
34,A10,A10,ADDRESS,
35,FC2,FC2,BUS CONTROL,
36,A11,A11,ADDRESS,
37,GND,GND,POWER,
38,A12,A12,ADDRESS,
39,A13,A13,ADDRESS,
40,Reserved,RESERVED_40,RESERVED / LEGACY,Legacy /EINT7
41,A14,A14,ADDRESS,
42,Reserved,RESERVED_42,RESERVED / LEGACY,Legacy /EINT5
43,A15,A15,ADDRESS,
44,Reserved,RESERVED_44,RESERVED / LEGACY,Legacy /EINT4
45,A16,A16,ADDRESS,
46,/BERR,BERR_N,BUS CONTROL,
47,A17,A17,ADDRESS,
48,(/VPA),LEGACY_VPA_N,RESERVED / LEGACY,Physical /MTACK; unsupported 6800 function on A3000
49,GND,GND,POWER,
50,E,E,CLOCKS,E Clock
51,(/VMA),LEGACY_VMA_N,RESERVED / LEGACY,Physical /DS0; unsupported 6800 function on A3000
52,A18,A18,ADDRESS,
53,/RST,RESET_N,BUS CONTROL,Physical /RESET; breakout /RESET
54,A19,A19,ADDRESS,
55,/HLT,HLT_N,BUS CONTROL,
56,A20,A20,ADDRESS,
57,A22,A22,ADDRESS,
58,A21,A21,ADDRESS,
59,A23,A23,ADDRESS,
60,/BR,BR_N,DMA / ARBITRATION,Slot-specific /BRn
61,GND,GND,POWER,
62,/BGACK,BGACK_N,DMA / ARBITRATION,
63,D15,D15,DATA,
64,/BG,BG_N,DMA / ARBITRATION,Slot-specific /BGn
65,D14,D14,DATA,
66,/DTACK,DTACK_N,BUS CONTROL,
67,D13,D13,DATA,
68,READ,READ,BUS CONTROL,R/W sense
69,D12,D12,DATA,
70,/LDS,LDS_N,BUS CONTROL,Physical /DS2
71,D11,D11,DATA,
72,/UDS,UDS_N,BUS CONTROL,Physical /DS3
73,GND,GND,POWER,
74,/AS,AS_N,BUS CONTROL,Physical /CCS
75,D0,D0,DATA,
76,D10,D10,DATA,
77,D1,D1,DATA,
78,D9,D9,DATA,
79,D2,D2,DATA,
80,D8,D8,DATA,
81,D3,D3,DATA,
82,D7,D7,DATA,
83,D4,D4,DATA,
84,D6,D6,DATA,
85,GND,GND,POWER,
86,D5,D5,DATA,
87,GND,GND,POWER,
88,GND,GND,POWER,
89,GND,GND,POWER,
90,GND,GND,POWER,
91,GND in Zorro-II,SENSEZ3_91,RESERVED / LEGACY,Grounded by ZII backplane only; leave isolated from board GND
92,E7M,CLK7M,CLOCKS,Physical 7M; breakout 7M
93,DOE,DOE,BUS CONTROL,
94,/BUSRST,BUSRST_N,BUS CONTROL,Physical /IORST
95,/GBG,GBG_N,DMA / ARBITRATION,Physical /BCLR
96,Reserved,RESERVED_96,RESERVED / LEGACY,Legacy /EINT1; corrected reserved classification
97,NC,NC_97,RESERVED / LEGACY,ZII No Connect; physical /FCS
98,NC,NC_98,RESERVED / LEGACY,ZII No Connect; physical /DS1
99,GND,GND,POWER,
100,GND,GND,POWER,
