physical_pin,zorro_ii_signal,schematic_net_name,pcb_footprint_pad,header_testpoint_references,category
1,GND,GND,J1.1,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
2,GND,GND,J1.2,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
3,GND,GND,J1.3,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
4,GND,GND,J1.4,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
5,+5V,+5V,J1.5,J9.1;J9.2;J9.3;J9.4,POWER
6,+5V,+5V,J1.6,J9.1;J9.2;J9.3;J9.4,POWER
7,/OWN,OWN_N,J1.7,J7.1,DMA / ARBITRATION
8,-5V,-5V,J1.8,TP1.1,POWER
9,/SLAVE,SLAVE_N,J1.9,J5.1;J5.2,AUTOCONFIG / SLOT CONTROL
10,+12V,+12V,J1.10,TP2.1,POWER
11,/CFGOUT,CFGOUT_N,J1.11,J5.5;J5.6,AUTOCONFIG / SLOT CONTROL
12,/CFGIN,CFGIN_N,J1.12,J5.3;J5.4,AUTOCONFIG / SLOT CONTROL
13,GND,GND,J1.13,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
14,/C3,C3_N,J1.14,J8.1;J8.2,CLOCKS
15,CDAC,CDAC,J1.15,J8.3;J8.4,CLOCKS
16,/C1,C1_N,J1.16,J8.5;J8.6,CLOCKS
17,/OVR,OVR_N,J1.17,J4.11;J4.12,BUS CONTROL
18,XRDY,XRDY,J1.18,J4.13;J4.14,BUS CONTROL
19,/INT2,INT2_N,J1.19,J6.1;J6.2,INTERRUPTS
20,-12V,-12V,J1.20,TP3.1,POWER
21,A5,A5,J1.21,J2.5,ADDRESS
22,/INT6,INT6_N,J1.22,J6.3;J6.4,INTERRUPTS
23,A6,A6,J1.23,J2.6,ADDRESS
24,A4,A4,J1.24,J2.4,ADDRESS
25,GND,GND,J1.25,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
26,A3,A3,J1.26,J2.3,ADDRESS
27,A2,A2,J1.27,J2.2,ADDRESS
28,A7,A7,J1.28,J2.7,ADDRESS
29,A1,A1,J1.29,J2.1,ADDRESS
30,A8,A8,J1.30,J2.8,ADDRESS
31,FC0,FC0,J1.31,J4.21;J4.22,BUS CONTROL
32,A9,A9,J1.32,J2.9,ADDRESS
33,FC1,FC1,J1.33,J4.23;J4.24,BUS CONTROL
34,A10,A10,J1.34,J2.10,ADDRESS
35,FC2,FC2,J1.35,J4.25;J4.26,BUS CONTROL
36,A11,A11,J1.36,J2.11,ADDRESS
37,GND,GND,J1.37,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
38,A12,A12,J1.38,J2.12,ADDRESS
39,A13,A13,J1.39,J2.13,ADDRESS
40,Reserved,RESERVED_40,J1.40,J10.1,RESERVED / LEGACY
41,A14,A14,J1.41,J2.14,ADDRESS
42,Reserved,RESERVED_42,J1.42,J10.2,RESERVED / LEGACY
43,A15,A15,J1.43,J2.15,ADDRESS
44,Reserved,RESERVED_44,J1.44,J10.3,RESERVED / LEGACY
45,A16,A16,J1.45,J2.16,ADDRESS
46,/BERR,BERR_N,J1.46,J4.19;J4.20,BUS CONTROL
47,A17,A17,J1.47,J2.17,ADDRESS
48,(/VPA),LEGACY_VPA_N,J1.48,J10.5,RESERVED / LEGACY
49,GND,GND,J1.49,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
50,E,E,J1.50,J8.7;J8.8,CLOCKS
51,(/VMA),LEGACY_VMA_N,J1.51,J10.6,RESERVED / LEGACY
52,A18,A18,J1.52,J2.18,ADDRESS
53,/RST,RESET_N,J1.53,J4.15;J4.16,BUS CONTROL
54,A19,A19,J1.54,J2.19,ADDRESS
55,/HLT,HLT_N,J1.55,J4.17;J4.18,BUS CONTROL
56,A20,A20,J1.56,J2.20,ADDRESS
57,A22,A22,J1.57,J2.22,ADDRESS
58,A21,A21,J1.58,J2.21,ADDRESS
59,A23,A23,J1.59,J2.23,ADDRESS
60,/BR,BR_N,J1.60,J7.2,DMA / ARBITRATION
61,GND,GND,J1.61,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
62,/BGACK,BGACK_N,J1.62,J7.3,DMA / ARBITRATION
63,D15,D15,J1.63,J3.16,DATA
64,/BG,BG_N,J1.64,J7.4,DMA / ARBITRATION
65,D14,D14,J1.65,J3.15,DATA
66,/DTACK,DTACK_N,J1.66,J4.9;J4.10,BUS CONTROL
67,D13,D13,J1.67,J3.14,DATA
68,READ,READ,J1.68,J4.7;J4.8,BUS CONTROL
69,D12,D12,J1.69,J3.13,DATA
70,/LDS,LDS_N,J1.70,J4.5;J4.6,BUS CONTROL
71,D11,D11,J1.71,J3.12,DATA
72,/UDS,UDS_N,J1.72,J4.3;J4.4,BUS CONTROL
73,GND,GND,J1.73,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
74,/AS,AS_N,J1.74,J4.1;J4.2,BUS CONTROL
75,D0,D0,J1.75,J3.1,DATA
76,D10,D10,J1.76,J3.11,DATA
77,D1,D1,J1.77,J3.2,DATA
78,D9,D9,J1.78,J3.10,DATA
79,D2,D2,J1.79,J3.3,DATA
80,D8,D8,J1.80,J3.9,DATA
81,D3,D3,J1.81,J3.4,DATA
82,D7,D7,J1.82,J3.8,DATA
83,D4,D4,J1.83,J3.5,DATA
84,D6,D6,J1.84,J3.7,DATA
85,GND,GND,J1.85,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
86,D5,D5,J1.86,J3.6,DATA
87,GND,GND,J1.87,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
88,GND,GND,J1.88,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
89,GND,GND,J1.89,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
90,GND,GND,J1.90,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
91,GND in Zorro-II,SENSEZ3_91,J1.91,J10.9,RESERVED / LEGACY
92,E7M,CLK7M,J1.92,J8.9;J8.10,CLOCKS
93,DOE,DOE,J1.93,J4.27;J4.28,BUS CONTROL
94,/BUSRST,BUSRST_N,J1.94,J4.29;J4.30,BUS CONTROL
95,/GBG,GBG_N,J1.95,J7.5,DMA / ARBITRATION
96,Reserved,RESERVED_96,J1.96,J10.4,RESERVED / LEGACY
97,NC,NC_97,J1.97,J10.7,RESERVED / LEGACY
98,NC,NC_98,J1.98,J10.8,RESERVED / LEGACY
99,GND,GND,J1.99,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
100,GND,GND,J1.100,J2.24;J3.17;J4.31;J4.32;J5.7;J5.8;J6.5;J6.6;J7.6;J8.11;J8.12;J9.5;J9.6;J9.7;J9.8;J9.9;J9.10;J9.11;J9.12;J10.10,POWER
